sim_name,result
100_10-with-90_80,0.056428
100_10-with-100_20,0.340000
100_10-with-10_100,0.004444
100_10-with-10_40,0.017143
100_10-with-1_80,-0.123520
100_10-with-80_70,0.065593
100_10-with-40_1,0.035459
100_10-with-20_40,0.025440
100_10-with-1_90,-0.103838
100_10-with-1_100,-0.117621
100_10-with-30_10,-0.015333
100_10-with-90_100,0.044105
100_10-with-70_100,0.052058
100_10-with-20_1,0.006674
100_10-with-30_1,0.020310
100_10-with-20_30,0.021822
100_10-with-20_100,0.036253
100_10-with-50_30,0.040423
100_10-with-70_60,0.059793
100_10-with-50_90,0.020493
100_10-with-90_90,0.066850
100_10-with-60_80,0.065008
100_10-with-20_50,0.048990
100_10-with-1_10,-0.169507
100_10-with-20_90,0.033333
100_10-with-90_10,0.089443
100_10-with-1_70,-0.137987
100_40-with-60_70,0.014856
100_40-with-30_50,0.007605
100_40-with-90_60,-0.052372
100_40-with-20_20,-0.002182
100_40-with-20_10,-0.027560
100_40-with-50_1,-0.008803
100_40-with-40_30,0.008847
100_40-with-1_1,-0.136093
100_40-with-20_80,-0.014289
100_40-with-100_60,-0.010000
100_40-with-1_40,-0.192949
100_40-with-80_1,0.026693
100_40-with-90_20,0.000000
100_40-with-10_10,-0.047619
100_40-with-50_20,-0.020212
100_40-with-10_90,-0.010680
100_40-with-30_70,0.019090
100_40-with-10_50,-0.041535
100_40-with-40_90,0.009562
100_40-with-70_20,-0.005121
100_40-with-1_60,-0.189887
100_40-with-70_70,0.004444
100_40-with-100_80,0.025000
100_40-with-60_10,-0.051995
100_40-with-90_1,0.024648
100_40-with-60_30,0.021822
100_40-with-100_30,-0.200000
100_40-with-30_30,-0.005070
100_40-with-10_60,-0.050686
100_40-with-80_30,0.073485
100_40-with-80_90,0.021909
100_40-with-60_40,0.017889
100_40-with-10_70,-0.015238
100_40-with-50_10,-0.034677
100_40-with-90_40,0.035777
100_40-with-70_90,-0.003322
100_40-with-60_60,0.040825
100_40-with-60_90,0.005963
100_40-with-40_10,-0.038103
100_40-with-10_20,-0.019495
100_40-with-70_50,0.022857
100_40-with-20_60,-0.006547
100_40-with-60_20,-0.012247
100_40-with-60_100,0.021381
100_40-with-30_40,-0.010222
100_40-with-100_90,0.008000
100_40-with-100_1,0.010256
100_40-with-50_60,-0.006737
100_40-with-40_80,0.010243
100_40-with-40_20,-0.034286
100_40-with-40_40,0.017889
100_40-with-60_1,-0.010112
100_40-with-80_20,-0.026667
100_40-with-30_60,-0.007428
100_40-with-30_80,0.011378
100_40-with-80_60,0.006667
100_40-with-80_40,0.044721
100_40-with-80_100,-0.003123
