sim_name,result
30_50-with-70_50,0.000000
30_50-with-20_60,0.186667
30_50-with-60_20,0.000000
30_50-with-60_100,0.013287
30_50-with-30_40,0.100000
30_50-with-100_90,0.006827
30_50-with-100_1,0.000000
30_50-with-50_60,0.073485
30_50-with-40_80,-0.012494
30_50-with-40_20,0.031235
30_50-with-40_40,0.173333
30_50-with-60_1,0.023577
30_50-with-80_20,-0.006305
30_50-with-30_60,0.100000
30_50-with-30_80,0.000000
30_50-with-80_60,0.007044
30_50-with-80_40,0.010565
30_50-with-80_100,0.048000
30_50-with-80_50,0.010733
30_50-with-90_70,0.011429
30_50-with-80_80,0.025220
30_50-with-60_50,0.023851
30_50-with-50_40,0.089815
30_50-with-50_100,0.010954
30_50-with-50_50,0.053666
30_50-with-50_70,0.140000
30_50-with-1_50,-0.545182
30_50-with-20_70,-0.052372
30_50-with-30_100,0.024000
30_50-with-70_10,-0.013333
30_50-with-100_50,-0.017889
30_50-with-40_60,0.053333
30_50-with-70_80,0.048281
30_50-with-40_70,0.122202
30_50-with-90_50,0.005963
30_50-with-100_70,0.012380
30_50-with-80_10,0.002910
30_50-with-10_30,-0.053333
30_50-with-50_80,0.069488
30_50-with-70_1,0.009044
30_50-with-40_50,0.053666
30_50-with-100_100,0.012921
30_50-with-40_100,0.023422
30_50-with-70_40,0.026186
30_50-with-1_20,-0.414979
30_50-with-10_1,0.014853
30_50-with-70_30,0.048990
30_50-with-1_30,-0.459669
30_50-with-30_20,-0.026667
30_50-with-10_80,-0.021381
30_50-with-90_80,0.027217
30_50-with-100_20,-0.004772
30_50-with-10_100,0.014606
30_50-with-10_40,-0.089815
30_50-with-1_80,-0.442043
30_50-with-80_70,0.023580
30_50-with-40_1,-0.027856
30_50-with-20_40,-0.066667
30_50-with-1_90,-0.333118
30_50-with-1_100,-0.358363
30_50-with-30_10,-0.045000
30_50-with-90_100,0.011952
30_50-with-70_100,0.023851
30_50-with-20_1,-0.027856
30_50-with-30_1,0.016327
30_50-with-20_30,0.034915
30_50-with-20_100,-0.039036
30_50-with-50_30,0.033333
30_50-with-70_60,0.017457
30_50-with-50_90,0.026186
30_50-with-90_90,0.007682
30_50-with-60_80,0.053333
30_50-with-20_50,0.107331
30_50-with-1_10,-0.329245
30_50-with-20_90,0.057785
30_50-with-90_10,0.002561
30_50-with-1_70,-0.527575
90_60-with-20_20,-0.059164
90_60-with-20_10,-0.047378
90_60-with-50_1,-0.027015
90_60-with-40_30,-0.022067
90_60-with-1_1,-0.136354
90_60-with-20_80,-0.002476
90_60-with-100_60,0.053666
90_60-with-1_40,-0.226121
90_60-with-80_1,-0.023314
90_60-with-90_20,-0.060000
90_60-with-10_10,-0.044891
90_60-with-50_20,-0.030000
90_60-with-10_90,-0.042400
90_60-with-30_70,-0.008847
90_60-with-10_50,-0.044444
90_60-with-40_90,-0.006305
90_60-with-70_20,-0.056737
90_60-with-1_60,-0.202548
90_60-with-70_70,-0.024495
90_60-with-100_80,0.017457
90_60-with-60_10,-0.086367
90_60-with-90_1,-0.020339
90_60-with-60_30,-0.008889
90_60-with-100_30,-0.062470
90_60-with-30_30,-0.019052
90_60-with-10_60,-0.055902
90_60-with-80_30,-0.099951
90_60-with-80_90,-0.018741
90_60-with-60_40,-0.035850
90_60-with-10_70,-0.048889
90_60-with-50_10,-0.092424
90_60-with-90_40,-0.050000
90_60-with-70_90,-0.021381
90_60-with-60_60,-0.041740
90_60-with-60_90,0.022222
90_60-with-40_10,-0.050667
90_60-with-10_20,-0.032660
90_60-with-70_50,-0.048990
90_60-with-20_60,-0.017889
90_60-with-60_20,-0.072795
90_60-with-60_100,-0.003831
90_60-with-30_40,-0.017143
90_60-with-100_90,-0.006247
90_60-with-100_1,-0.049958
90_60-with-50_60,-0.013416
90_60-with-40_80,-0.013474
90_60-with-40_20,-0.037824
90_60-with-40_40,-0.006737
90_60-with-60_1,-0.002947
90_60-with-80_20,-0.105940
90_60-with-30_60,-0.023851
90_60-with-30_80,0.002857
90_60-with-80_60,-0.017889
90_60-with-80_40,-0.043644
90_60-with-80_100,0.014446
90_60-with-80_50,-0.133333
90_60-with-90_70,0.040000
90_60-with-80_80,-0.008729
90_60-with-60_50,-0.062857
90_60-with-50_40,-0.032660
90_60-with-50_100,-0.026667
90_60-with-50_50,0.013093
90_60-with-50_70,0.030551
90_60-with-1_50,-0.203532
90_60-with-20_70,0.000000
90_60-with-30_100,-0.007682
90_60-with-70_10,-0.109545
90_60-with-100_50,-0.133333
90_60-with-40_60,-0.025044
